task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-1998-gripper-1,gripper,20,bcoverage,bcoverage,1.0,1.0,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bcoverage,bmaxsum,0.8181818181818182,0.8181818181818182,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bcoverage,bmaxmin,0.09090909090909091,0.09090909090909091,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bcoverage,bnovelty,0.09090909090909091,0.09090909090909091,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bcoverage,maxsum_stability,0.6363636363636364,0.5384615384615384,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxsum,bcoverage,0.8181818181818182,0.8181818181818182,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxsum,bmaxsum,1.0,1.0,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxsum,bmaxmin,0.2,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxsum,bnovelty,0.2,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxsum,maxsum_stability,0.7142857142857143,0.6,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxmin,bcoverage,0.09090909090909091,0.09090909090909091,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxmin,bmaxsum,0.2,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxmin,bmaxmin,1.0,1.0,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxmin,bnovelty,1.0,1.0,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bmaxmin,maxsum_stability,0.25,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bnovelty,bcoverage,0.09090909090909091,0.09090909090909091,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bnovelty,bmaxsum,0.2,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bnovelty,bmaxmin,1.0,1.0,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bnovelty,bnovelty,1.0,1.0,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,bnovelty,maxsum_stability,0.25,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,maxsum_stability,bcoverage,0.6363636363636364,0.5384615384615384,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,maxsum_stability,bmaxsum,0.7142857142857143,0.6,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,maxsum_stability,bmaxmin,0.25,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,maxsum_stability,bnovelty,0.25,0.2,1665754178
1.0-1000-classical-1998-gripper-1,gripper,20,maxsum_stability,maxsum_stability,1.0,1.0,1665754178
1.0-1000-classical-None-miconic-10,miconic,20,bcoverage,bcoverage,1.0,1.0,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bcoverage,bmaxsum,0.14285714285714285,0.14285714285714285,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bcoverage,bmaxmin,0.047619047619047616,0.047619047619047616,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bcoverage,bnovelty,0.047619047619047616,0.047619047619047616,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bcoverage,maxsum_stability,0.17647058823529413,0.08108108108108109,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxsum,bcoverage,0.14285714285714285,0.14285714285714285,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxsum,bmaxsum,1.0,1.0,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxsum,bmaxmin,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxsum,bnovelty,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxsum,maxsum_stability,0.42857142857142855,0.42857142857142855,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxmin,bcoverage,0.047619047619047616,0.047619047619047616,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxmin,bmaxsum,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxmin,bmaxmin,1.0,1.0,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxmin,bnovelty,1.0,1.0,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bmaxmin,maxsum_stability,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bnovelty,bcoverage,0.047619047619047616,0.047619047619047616,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bnovelty,bmaxsum,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bnovelty,bmaxmin,1.0,1.0,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bnovelty,bnovelty,1.0,1.0,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,bnovelty,maxsum_stability,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,maxsum_stability,bcoverage,0.17647058823529413,0.08108108108108109,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,maxsum_stability,bmaxsum,0.42857142857142855,0.42857142857142855,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,maxsum_stability,bmaxmin,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,maxsum_stability,bnovelty,0.1,0.1,1525500729
1.0-1000-classical-None-miconic-10,miconic,20,maxsum_stability,maxsum_stability,1.0,1.0,1525500729
1.0-1000-classical-1998-movie-1,movie,20,bcoverage,bcoverage,1.0,1.0,744618490
1.0-1000-classical-1998-movie-1,movie,20,bcoverage,bmaxsum,0.17647058823529413,0.17647058823529413,744618490
1.0-1000-classical-1998-movie-1,movie,20,bcoverage,bmaxmin,0.14285714285714285,0.14285714285714285,744618490
1.0-1000-classical-1998-movie-1,movie,20,bcoverage,bnovelty,0.14285714285714285,0.14285714285714285,744618490
1.0-1000-classical-1998-movie-1,movie,20,bcoverage,maxsum_stability,0.21212121212121213,0.1111111111111111,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxsum,bcoverage,0.17647058823529413,0.17647058823529413,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxsum,bmaxsum,1.0,1.0,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxsum,bmaxmin,0.2,0.2,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxsum,bnovelty,0.2,0.2,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxsum,maxsum_stability,0.17647058823529413,0.1111111111111111,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxmin,bcoverage,0.14285714285714285,0.14285714285714285,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxmin,bmaxsum,0.2,0.2,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxmin,bmaxmin,1.0,1.0,744618490
